Designator,Mid X,Mid Y,Rotation,Layer
BUTTON1,116.75,-122.25,0.0,top
BUTTON2,127.75,-122.25,0.0,top
BZ1,100.5,-121.0,0.0,top
D1,150.185,-102.5,270.0,top
D2,150.185,-110.0,270.0,top
ESP_LEFT1,111.0,-78.49,0.0,top
ESP_RIGHT1,136.0,-78.49,0.0,top
J1,140.5,-122.5,0.0,top
PRIME_SWITCH1,137.0,-110.0,0.0,top
R1,123.58,-60.0,0.0,top
R2,123.58,-66.5,0.0,top
RTK_BOTTOM_LEFT1,99.5,-92.89,0.0,bottom
RTK_BOTTOM_RIGHT1,147.5,-85.89,0.0,bottom
RTK_TOP_LEFT1,99.5,-68.39,0.0,bottom
RTK_TOP_RIGHT1,147.5,-65.81,0.0,bottom
